model,mixture_type,sample,source_label,q025,q25,median,q75,q975,true_proportion,p50_hit,p95_hit,w50,w95,e50,e95,ae50,ae95,crps
BMM,Laboratory,mel34,Forest,3.528671495625635e-17,0.403615839696864,0.5681913379544608,0.7129960138290391,0.9778947237768416,0.875,False,True,0.3093801741321751,0.9778947237768416,-0.1620039861709609,0.0,0.1620039861709609,0.0,0.20468894998252238
BMM,Laboratory,mel34,Subsurface,0.0,3.8827068952422945e-18,0.024416679511549723,0.15563602576301555,0.39685732745672986,0.0,False,True,0.15563602576301555,0.39685732745672986,3.8827068952422945e-18,0.0,3.8827068952422945e-18,0.0,0.02968379698323762
BMM,Laboratory,mel36,Cropland,0.0,9.439450941151883e-17,0.20274853213899874,0.42371165898504703,0.8389283647388437,0.0,False,True,0.4237116589850469,0.8389283647388437,9.439450941151883e-17,0.0,9.439450941151883e-17,0.0,0.11591852862775004
BMM,Laboratory,mel36,Decontaminated,0.0,0.0911581492412476,0.29496473125711486,0.47728559951121874,0.8183038953913588,0.375,True,True,0.38612745026997114,0.8183038953913588,0.0,0.0,0.0,0.0,0.07353159085530642
BMM,Laboratory,mel36,Forest,0.0,0.24653456613278513,0.37655127869949795,0.5091922196591825,0.7788928622571912,0.625,False,True,0.26265765352639736,0.7788928622571912,-0.11580778034081751,0.0,0.11580778034081751,0.0,0.15811038244028938
BMM,Laboratory,mel36,Subsurface,0.0,0.0,7.827939685345342e-17,0.0978697930498656,0.3387277835477812,0.0,True,True,0.0978697930498656,0.3387277835477812,0.0,0.0,0.0,0.0,0.016432132249532508
BMM,Laboratory,mel38,Cropland,0.0,8.185726402265558e-17,0.17587727428918473,0.3807759338381789,0.7585078293705749,0.0,False,True,0.38077593383817887,0.7585078293705749,8.185726402265558e-17,0.0,8.185726402265558e-17,0.0,0.10272950303612877
BMM,Laboratory,mel38,Decontaminated,0.0,0.19539434821791335,0.36385300440702806,0.5275558689015946,0.8314088223695312,0.625,False,True,0.3321615206836812,0.8314088223695312,-0.09744413109840544,0.0,0.09744413109840544,0.0,0.16233028188881737
BMM,Laboratory,mel38,Forest,0.0,0.17419411590909506,0.2962135507655528,0.4140837413899929,0.6660682830494782,0.375,True,True,0.23988962548089782,0.6660682830494782,0.0,0.0,0.0,0.0,0.05602125522296533
BMM,Laboratory,mel38,Subsurface,0.0,1.9583401740519424e-17,0.07350925307956202,0.1833804197755973,0.41522127180440593,0.0,False,True,0.18338041977559727,0.41522127180440593,1.9583401740519424e-17,0.0,1.9583401740519424e-17,0.0,0.04502189240825394
BMM,Laboratory,mel4,Cropland,0.0,2.168404344971009e-17,0.12199696837555894,0.3683788726765525,0.8852531543377001,0.0,False,True,0.3683788726765525,0.8852531543377001,2.168404344971009e-17,0.0,2.168404344971009e-17,0.0,0.08170241592216887
BMM,Laboratory,mel4,Decontaminated,0.0,1.6071193330347294e-17,0.07572780211454831,0.2904006930964726,0.6926065920621319,0.0,False,True,0.2904006930964726,0.6926065920621319,1.6071193330347294e-17,0.0,1.6071193330347294e-17,0.0,0.059920882942975026
BMM,Laboratory,mel4,Forest,4.206227512277722e-19,0.41236594461385645,0.5783902164871966,0.7274149683087436,0.9999999999999999,1.0,False,False,0.3150490236948872,0.9999999999999999,-0.27258503169125636,-1.1102230246251565e-16,0.27258503169125636,1.1102230246251565e-16,0.30437740264887514
BMM,Laboratory,mel4,Subsurface,0.0,0.0,5.4643789493269423e-17,0.08947486349106248,0.3642108829957723,0.0,True,True,0.08947486349106248,0.3642108829957723,0.0,0.0,0.0,0.0,0.014265331200041677
BMM,Laboratory,mel40,Cropland,0.0,1.0260618309859693e-16,0.1950585702667382,0.3950907697528627,0.8437175999564059,0.0,False,True,0.3950907697528626,0.8437175999564059,1.0260618309859693e-16,0.0,1.0260618309859693e-16,0.0,0.11076681666988927
BMM,Laboratory,mel40,Decontaminated,0.0,0.4075817434830451,0.5988377673571568,0.76458552106351,0.9985126679916054,0.875,False,True,0.35700377758046486,0.9985126679916054,-0.11041447893649003,0.0,0.11041447893649003,0.0,0.1761886131953945
BMM,Laboratory,mel40,Forest,0.0,3.469446951953614e-18,0.01928057025948039,0.15064851979519467,0.4184864938710195,0.125,True,True,0.15064851979519467,0.4184864938710195,0.0,0.0,0.0,0.0,0.049141594300770405
BMM,Laboratory,mel40,Subsurface,0.0,5.57476121541152e-18,0.03823151339102038,0.16559289666564744,0.42407200932446343,0.0,False,True,0.16559289666564744,0.42407200932446343,5.57476121541152e-18,0.0,5.57476121541152e-18,0.0,0.03316159729304573
BMM,Laboratory,mel41,Cropland,0.0,2.3418766925686896e-17,0.13589061077899034,0.3607146389871216,0.8543929059135641,0.0,False,True,0.3607146389871216,0.8543929059135641,2.3418766925686896e-17,0.0,2.3418766925686896e-17,0.0,0.08441359674932525
BMM,Laboratory,mel41,Decontaminated,0.0,3.5805776746333784e-17,0.14740052316203694,0.34900902114729904,0.7179369813674983,0.0,False,True,0.349009021147299,0.7179369813674983,3.5805776746333784e-17,0.0,3.5805776746333784e-17,0.0,0.08713538563027856
BMM,Laboratory,mel41,Forest,1.734723475976807e-18,0.35126438012492406,0.509221240546605,0.6449046049678978,0.9382424658022822,0.875,False,True,0.29364022484297375,0.9382424658022822,-0.2300953950321022,0.0,0.2300953950321022,0.0,0.2587570487591715
BMM,Laboratory,mel41,Subsurface,0.0,4.20128341838133e-18,0.02387336457894129,0.15063904436861988,0.39384474990748214,0.125,True,True,0.15063904436861988,0.39384474990748214,0.0,0.0,0.0,0.0,0.0490160740650708
BMM,Laboratory,mel43,Cropland,0.0,1.0810173286038283e-16,0.1937245943133274,0.3898799647318948,0.766320269348361,0.0,False,True,0.3898799647318947,0.766320269348361,1.0810173286038283e-16,0.0,1.0810173286038283e-16,0.0,0.10949565720453391
BMM,Laboratory,mel43,Decontaminated,0.0,0.02802979114942095,0.21150476571234056,0.39183955567861306,0.7195000990052194,0.0,False,True,0.3638097645291921,0.7195000990052194,0.02802979114942095,0.0,0.02802979114942095,0.0,0.12199562325629773
BMM,Laboratory,mel43,Forest,4.439807896328141e-18,0.24312413013931428,0.3621789231580286,0.48748647323790073,0.7480016494479909,0.625,False,True,0.24436234309858645,0.7480016494479909,-0.13751352676209927,0.0,0.13751352676209927,0.0,0.1708192649658704
BMM,Laboratory,mel43,Subsurface,0.0,0.014619082823194608,0.12679558368573648,0.2571149359918869,0.4839113343666711,0.375,False,True,0.2424958531686923,0.4839113343666711,-0.1178850640081131,0.0,0.1178850640081131,0.0,0.15242629541397462
BMM,Laboratory,mel45,Cropland,0.0,6.916532234099715e-17,0.1753709072402716,0.36343653979644075,0.7169677320088695,0.0,False,True,0.3634365397964407,0.7169677320088695,6.916532234099715e-17,0.0,6.916532234099715e-17,0.0,0.10048370909447916
BMM,Laboratory,mel45,Decontaminated,0.0,0.07322463639503715,0.24096431191184498,0.40895229046690074,0.7315332243221021,0.0,False,True,0.33572765407186356,0.7315332243221021,0.07322463639503715,0.0,0.07322463639503715,0.0,0.14278332117135556
BMM,Laboratory,mel45,Forest,0.0,0.07895455086622083,0.1891934704552976,0.313867250606321,0.5854214089259848,0.375,False,True,0.23491269974010015,0.5854214089259848,-0.06113274939367902,0.0,0.06113274939367902,0.0,0.10814648442049282
BMM,Laboratory,mel45,Subsurface,0.0,0.17433031216342218,0.3020051628385037,0.43443846946219755,0.677068098152986,0.625,False,True,0.26010815729877534,0.677068098152986,-0.19056153053780245,0.0,0.19056153053780245,0.0,0.2198534985803779
BMM,Laboratory,mel47,Cropland,0.0,1.5376189091507314e-17,0.10639634406078502,0.30241808442363216,0.6903321413360427,0.0,False,True,0.30241808442363216,0.6903321413360427,1.5376189091507314e-17,0.0,1.5376189091507314e-17,0.0,0.06981879208932976
BMM,Laboratory,mel47,Decontaminated,0.0,0.1254237707412334,0.3166933939500739,0.48270897057859835,0.8353678780172091,0.0,False,True,0.35728519983736495,0.8353678780172091,0.1254237707412334,0.0,0.1254237707412334,0.0,0.18951963716057466
BMM,Laboratory,mel47,Forest,0.0,1.8295911660692887e-18,0.007361910764773461,0.14843383261004237,0.46013781579533264,0.125,True,True,0.14843383261004237,0.46013781579533264,0.0,0.0,0.0,0.0,0.05209503071556214
BMM,Laboratory,mel47,Subsurface,4.170102265139058e-17,0.2380231949082245,0.3985034199657541,0.5586484836305365,0.8265435641897669,0.875,False,False,0.32062528872231205,0.8265435641897669,-0.31635151636946346,-0.04845643581023307,0.31635151636946346,0.04845643581023307,0.3495825915471509
BMM,Laboratory,mel48,Cropland,0.0,0.1144268504037501,0.2987752268382199,0.505259744693263,0.852802119654068,0.3,True,True,0.39083289428951284,0.852802119654068,0.0,0.0,0.0,0.0,0.06573886386657707
