sample,tracer,observed,predicted,residual
mel50,Mn,0.8444661214195412,0.8535113527011338,-0.009045231281592514
mel50,K,0.8146166106004693,0.8314662041632882,-0.0168495935628189
mel50,Ti,0.8858852284550447,0.9059534485977095,-0.02006822014266485
mel50,y,0.9776375596486415,0.9773470435949647,0.00029051605367680366
mel50,C_star,0.6828053664998726,0.713966411269855,-0.031161044769982493
mel51,L,0.8147480227439733,0.834032994489578,-0.01928497174560473
mel51,h,0.9998665429999196,0.9937353032031117,0.0061312397968079635
mel51,Si,0.9738724696913811,0.9813041855686236,-0.007431715877242562
mel51,Zn,0.9460519103183985,0.9630709428014633,-0.0170190324830648
mel51,Mn,0.8056722473010584,0.8079731377730276,-0.0023008904719692413
mel51,K,0.9377872577509786,0.9326932237259682,0.005094034025010408
mel51,Ti,0.9489373550290928,0.9476282337327189,0.0013091212963739496
mel51,y,0.9834560395103783,0.9778292845396175,0.005626754970760817
mel51,C_star,0.7261888900441726,0.7213867087420832,0.0048021813020894255
mel52,L,0.8027391652638474,0.8114749518639023,-0.008735786600054918
mel52,h,0.9939856427781202,0.9755431220477937,0.018442520730326484
mel52,Si,0.9701886083925282,0.9422446094916899,0.02794399890083832
mel52,Zn,0.9327043855099467,0.9491640554986664,-0.016459669988719727
mel52,Mn,0.825326301765645,0.8137333804941033,0.011592921271541767
mel52,K,0.8606103572840963,0.8523940452954959,0.0082163119886004
mel52,Ti,0.8954513508485437,0.9037799047235703,-0.008328553875026623
mel52,y,0.9854677151092635,0.9786348521320939,0.006832862977169563
mel52,C_star,0.7370712176459915,0.7307059249028226,0.006365292743168882
mel53,L,0.8026923099873687,0.8185596908864503,-0.015867380899081573
mel53,h,1.0054084972454587,0.992576377277671,0.012832119967787659
mel53,Si,1.0036251165970707,0.9732217016296083,0.03040341496746235
mel53,Zn,0.9158171856141704,0.9741021313596482,-0.05828494574547782
mel53,Mn,0.8596154789424801,0.8553266784574111,0.0042888004850690775
mel53,K,0.9153493205308503,0.9291291981827975,-0.013779877651947214
mel53,Ti,0.9685887232913712,0.9613063644049298,0.0072823588864414646
mel53,y,0.9811628106994525,0.9763190505135084,0.004843760185944124
mel53,C_star,0.6998177972501534,0.7019147873531981,-0.00209699010304476
mel54,L,0.7626687267583684,0.755816818673092,0.006851908085276359
mel54,h,0.9992253873276419,0.9833128323909974,0.015912554936644452
mel54,Si,1.0141832761491865,0.9584051799075042,0.055778096241682285
mel54,Zn,0.9897079030620647,0.9763406513970045,0.013367251665060143
mel54,Mn,0.8225700031803445,0.8004852575502923,0.02208474563005214
mel54,K,0.8813406076073068,0.8680578684969398,0.013282739110367037
mel54,Ti,0.9489088541324108,0.9356211027726349,0.01328775135977589
mel54,y,0.9778193308170082,0.9715810187994436,0.00623831201756464
mel54,C_star,0.6608552366949428,0.6431059332945815,0.017749303400361294
mel55,L,0.7537586085606842,0.7135557305189367,0.04020287804174749
mel55,h,0.9875021991051414,0.9781895767690303,0.009312622336111076
mel55,Si,0.9910213019502851,0.940371944365585,0.05064935758470013
mel55,Zn,0.9784989319522045,0.99315114659111,-0.014652214638905536
mel55,Mn,0.8986664704663081,0.8568526725706622,0.04181379789564588
mel55,K,0.8548891551446864,0.8420359884953862,0.012853166649300252
mel55,Ti,0.9534364251481889,0.9472860030233827,0.00615042212480621
mel55,y,0.9628723776356876,0.9679711701807006,-0.005098792545012998
mel55,C_star,0.5732599716183309,0.5971713792987783,-0.023911407680447416
mel56,L,0.8353578380007425,0.8562134526766862,-0.020855614675943768
mel56,h,0.9880455404883873,0.9806612334892723,0.007384306999115076
mel56,Si,0.9817509051759015,0.9637644613731673,0.017986443802734176
mel56,Zn,0.8981188101775491,0.9268778844202701,-0.02875907424272095
mel56,Mn,0.7292466697362529,0.7264986913665431,0.002747978369709747
mel56,K,0.8771668015589683,0.8755768621723362,0.0015899393866320999
mel56,Ti,0.8754294709293986,0.8829427969330435,-0.007513326003644849
mel56,y,0.9886804557174538,0.9825757422008966,0.00610471351655717
mel56,C_star,0.7840450506810597,0.7811496119744114,0.0028954387066483234
mel57,L,0.8192621820380844,0.8277482147878451,-0.008486032749760675
mel57,h,1.0068855910081496,0.9937922870137856,0.013093303994363925
mel57,Si,0.9839012260406048,0.9740431706716124,0.009858055368992424
mel57,Zn,0.9502552744845962,0.9750149157169058,-0.02475964123230956
mel57,Mn,0.8757521673019445,0.8728539101347237,0.002898257167220808
mel57,K,0.9354432649278219,0.9385635175442616,-0.003120252616439667
mel57,Ti,0.9876782167333463,0.967302696102132,0.020375520631214283
mel57,y,0.9824713885947001,0.9770143202525898,0.005457068342110238
mel57,C_star,0.7165471243794901,0.7104234287741692,0.006123695605320889
mel58,L,0.7533576394735043,0.7811421193885832,-0.02778447991507893
mel58,h,1.000939479023231,0.994169499923264,0.006769979099967127
mel58,Si,0.9807434971393303,0.9804710676650554,0.0002724294742748601
mel58,Zn,0.8925143246226189,0.982576541721578,-0.09006221709895912
mel58,Mn,0.8003859134471613,0.8110478380754382,-0.010661924628276975
mel58,K,0.8966105620378529,0.9207205861660549,-0.024110024128201957
mel58,Ti,0.9429969538492183,0.9627398155458601,-0.019742861696641745
mel58,y,0.9743621934876672,0.9722903089192496,0.002071884568417559
mel58,C_star,0.6332412880953873,0.652227372535288,-0.018986084439900686
mel59,L,0.69785858821306,0.6836494007115219,0.0142091875015381
mel59,h,0.9875012498597402,0.9553863369497538,0.03211491290998636
mel59,Si,0.8329998193529033,0.8920574160030355,-0.059057596650132105
