sample,source,source_label,L,h,Si,Zn,Mn,K,Ti,y,C_star
FMS_845,source_S,Subsurface,3.938613900408184,4.343030178833049,12.185359603932632,4.640730361386642,6.46772978152275,9.054555190411785,8.586015648383459,-0.9593392866743856,3.099856908926294
FMS_847,source_PF,Cropland,3.6230778438817492,4.301288938927072,12.283928193882813,4.928122872521792,6.32863296990678,9.039643387275387,8.674933421094028,-0.9853648486256993,2.7141018170811786
FMS_849,source_F,Forest,3.4817249748366375,4.236466895955846,11.976055525272791,5.0001808361923965,7.272224766386782,8.505531456946965,8.659780703324719,-0.9622372693600325,2.909688477397922
FMS_850,source_F,Forest,3.478428982798564,4.234386517563882,11.998793215967478,4.821409960985506,5.674799839731719,8.70334075304372,8.613422948279947,-0.957593360109458,2.949084273062719
FMS_851,source_S,Subsurface,3.741204085640461,4.185201506073746,12.171107424910923,4.813565514953393,6.7358156430612945,8.942995424474134,8.748462042891122,-0.945088508444209,3.3067801899252776
FMS_852,source_F,Forest,3.4927017631400106,4.239022644467763,12.061692329868,4.8912509770728985,6.238187896942647,9.330438946923273,8.30280371116723,-0.9819491198285643,2.7375318625043987
FMS_853,source_S,Subsurface,3.937007824102649,4.288877737901364,12.297574674432497,4.657003334628109,6.337816390723639,9.616262042510526,7.17256271033152,-0.9660856598997729,3.109806522377288
FMS_854,source_D,Decontaminated,3.805889417248969,4.264850419427246,12.30067894130261,5.064807772984649,7.2900199939198655,9.656222272521326,8.604311729330597,-0.9611479742544533,3.0952077921862733
FMS_855,source_S,Subsurface,4.021385979113796,4.2834684163989705,12.122504606170574,4.688499793575096,6.158312841366986,9.148684093184645,8.332695668925128,-0.9384418616446909,3.391746487656306
FMS_856,source_D,Decontaminated,3.899481977445295,4.27391329179499,12.147241539402511,4.843399374720342,6.957858865948383,9.372113923748989,8.530265376879688,-0.9519469928417764,3.219884074813356
FMS_857,source_PF,Cropland,3.7257129822261756,4.320605095895646,12.27076287390962,4.733035556985987,6.43957398826844,9.62598812718433,7.668360153246401,-0.9947409224431237,2.669543282363738
FNS_707,source_PF,Cropland,3.6335622567823176,4.307330908942245,12.318661324957494,4.8066405616208066,5.883210961667728,9.556383801108629,8.445609108495933,-0.9995496635557599,2.5736249912372826
FNS_727,source_F,Forest,3.485844048677704,4.228193106465398,12.027225844773056,4.9245689249914415,6.847315015170721,9.092038701852191,8.468208808387544,-0.9754482260738281,2.806834111421572
FNS_729,source_PF,Cropland,3.6192969931389705,4.322967711214953,12.208654808875092,5.0825217528963655,6.349173955803501,9.365881513235168,8.596187349553798,-0.998878343612427,2.553931444876499
FNS_730,source_PF,Cropland,3.526542405721849,4.308058333111922,12.243562534748444,4.963613565322785,6.285439279182783,9.377505988880936,8.675814434794775,-1.0121741006699079,2.362585008663398
FNS_731,source_D,Decontaminated,3.886584173915676,4.354911718498581,12.185299367304763,4.808355897961355,7.03219168734028,9.30073668028304,8.540772989936693,-0.9768019415282424,2.906824805027482
FNS_732,source_F,Forest,3.1181853436049454,4.191182721949096,11.986991456637002,4.877560939870913,7.014194212937864,9.032252639884282,8.330622620332868,-1.0277991935937016,2.029283037516341
FNS_733,source_F,Forest,3.1366647010788435,4.200858941872753,12.071172316339405,4.74987640698735,6.173306822398237,8.779800503268397,8.079382561768647,-1.0243525873115598,2.075989407791375
FNS_734,source_F,Forest,3.2147566671747705,4.192718492431313,12.009868570959403,4.904459631481588,6.312605573303428,9.03070161325911,8.161072379632206,-1.0283843166319573,2.081210424658475
FNS_735A,source_F,Forest,3.5211886514479684,4.26175999873085,12.148403807328224,4.660604892876192,5.823134648940764,9.637091320601261,7.905452710946006,-0.9868716261020339,2.6800181974635953
FNS_736,source_D,Decontaminated,3.699534309256327,4.333239536099751,12.307810306568069,4.930437018767144,6.429558174707874,9.443301968166434,8.612459733904831,-1.010033814217369,2.4757174531486816
FNS_737,source_D,Decontaminated,3.4016285663553396,4.266657891843872,12.202558979830366,5.281323790171466,6.905262173776425,9.472927688488793,8.411072386812002,-1.0077410199045922,2.37726180481327
FNS_738,source_F,Forest,3.4281865476741524,4.268858129597341,11.9247337458864,5.222461714244501,6.862768373247739,9.05397073207696,8.19750294612906,-0.9923466739360552,2.5554185711564763
FNS_739,source_D,Decontaminated,3.6855911573372238,4.343654170026093,12.175747449684062,4.868149645799501,6.4746928436818685,9.393071844743105,8.455704946784952,-0.9898667928254185,2.6654247152965507
FNS_740,source_D,Decontaminated,3.8628283011433946,4.325539909847411,12.307903338688153,4.8892206722058225,6.44797125126366,9.360248923831259,8.325926142749287,-0.962008323109064,3.048659368337526
FNS_743,source_PF,Cropland,3.5821951367838647,4.325604139053212,12.306610953008652,4.893801807475461,6.607433662983892,9.473548126759521,8.55668694421388,-1.0057006129764579,2.453891505152819
FNS_858,source_F,Forest,3.5119697505890977,4.242924927757817,11.991600141788568,4.9247142315886165,6.499335811047536,9.055376361485193,8.460474680804674,-0.9619055294853938,2.923352501739889
FNS_859,source_PF,Cropland,3.6915238007455478,4.306972226232904,12.191764267168036,4.821329403527856,6.996800419804716,9.54171176423926,8.414413786269321,-0.9745918077155064,2.850743779999633
FNS_860,source_F,Forest,3.261873128870268,4.209018206356833,11.907876156492112,5.144641573943989,7.53761648697127,8.99246044346205,8.27307112171683,-1.0257328743826457,2.131007245829228
FNS_861,source_F,Forest,3.3469112803097523,4.20708482548447,12.050312588015773,4.744671224765649,6.57783354092248,9.094053716184803,8.222094349266381,-1.02362584576854,2.217708798220632
FNS_862,source_F,Forest,3.277475793280011,4.2368314341095745,12.179204405477778,4.844187086458591,7.425369805907254,9.108122690215772,8.409086686757025,-1.0052088455313255,2.358952616329201
FNS_863,source_F,Forest,3.20752259819671,4.242667960231529,12.052936034694444,4.975422538340511,7.070902511056503,8.890668023645214,8.370649504910727,-1.014135034607444,2.20175795636127
FNS_864,source_F,Forest,3.5677532135770083,4.249532426558927,12.105578602695001,4.908381060057499,6.453924166735955,9.255426541963722,8.496447479555576,-0.9633914668081507,2.9387748498082975
FNS_865,source_PF,Cropland,3.4679069415761172,4.290947022535238,12.112303577602676,4.887337077751762,6.141069195087321,9.448902050738765,8.566672641782871,-0.9934387340864164,2.544555453688176
FNS_866,source_F,Forest,3.362472740324902,4.244835068493421,12.055402651083254,4.838580849658078,6.498974680705654,9.131228980493063,8.191875708554491,-0.9978064685056766,2.485773954403928
FNS_867,source_S,Subsurface,3.9484732626793235,4.295849492658926,12.221533508050744,4.964870548728511,6.783766779197971,9.200700053064347,8.542472948676608,-0.9453126171314239,3.274177831939771
FNS_868,source_F,Forest,3.386842498564527,4.245565982669436,12.041738540185296,5.0407764510082425,6.958277275996328,8.993122976263324,8.416340279010818,-1.0012493880465714,2.4646523875701214
FNS_869,source_F,Forest,3.3501003915144385,4.237655573398253,12.129975850825488,5.037666633147286,6.868879306398997,9.105256484719858,8.39258869239165,-1.0184728927459556,2.248501209373843
FNS_870,source_D,Decontaminated,3.967066824955279,4.314592558526814,12.296593648238847,4.4898715616246285,6.590507070928589,9.925608568722092,8.357552468845341,-0.9705593085539597,3.0601170045852197
FNS_871,source_F,Forest,3.2752529703975255,4.240144574793298,12.095426518943032,4.95420602612954,7.247863753612294,9.154339170660409,8.48040264301916,-1.006999313290624,2.333630875539961
FNS_872,source_D,Decontaminated,3.948026681770766,4.275229556682095,12.247333583700568,4.802298250099019,7.01502996145318,9.474152818091484,8.594441228402154,-0.9552996392598617,3.2236525330111685
FNS_873,source_D,Decontaminated,3.90778898419738,4.320750456969127,12.256488154777045,4.861903240295856,6.947591187479336,9.686321723983449,8.340391571699081,-0.973512210643831,2.9878609392241233
FNS_874,source_F,Forest,3.6144420353524858,4.2833035760308125,12.065674876059802,4.929714423172439,6.2324480165505225,9.288256512415284,8.503913404069007,-0.9754227001274024,2.8205340224693063
FNS_875,source_D,Decontaminated,3.9381598851965407,4.312804397241716,12.262952854007933,4.807457755422924,6.94958796258407,9.752644895164305,8.555001368949103,-0.969808606701711,3.049395610695104
FNS_876,source_D,Decontaminated,3.944577918726571,4.32690171119907,12.2565333183846,4.840321356426578,7.034696252423286,9.72358067804889,8.571198305494743,-0.9650084275444921,3.076977033857313
FNS_877,source_PF,Cropland,3.600427455654599,4.323502119097604,12.296911023534141,5.059488948313644,6.806132214787772,9.388129171329144,8.497492398934718,-0.994920336989239,2.5809068414793592
FNS_878,source_D,Decontaminated,3.9608514410556928,4.322120435214669,12.265334928018948,4.797359561980396,6.940416061221685,9.699480352684073,8.530318674155126,-0.963722394599674,3.1041162328463052
