sample,L,h,Si,Zn,Mn,K,Ti,y,C_star
mel72,3.592493096638096,4.309863207013605,12.146316802466165,4.86830338551846,6.656199392981233,9.387713036512206,8.41094783996221,-0.9906551749906659,2.6331526943737185
mel73,3.5038254508860973,4.28673100862615,12.081431333065618,4.858571324462998,6.859772288959985,9.241277835078439,8.415162680688058,-0.9934167630203865,2.5732300736536744
mel74,3.7912292257019358,4.2956129060568795,12.234150740414968,4.836361268881602,6.461202516069148,9.414547352858678,8.31620488996709,-0.9686379683056595,2.9824626487196726
mel75,3.593798363941578,4.3056509855524085,12.250056516047895,4.934114156188513,6.585081405576444,9.435667936596126,8.46059955923357,-0.9878834246124064,2.6656163665988757
mel76,3.524002392288702,4.284505370247586,12.164093210600791,4.886280713056833,6.743470084674281,9.206315282159887,8.360272679142316,-0.9859906112680207,2.6621848176885634
mel77,3.8463745319880305,4.289840110635713,12.257150191645739,4.784320051616411,6.572366455257166,9.471146500102547,8.331017818202016,-0.9626740656599613,3.0762504177281427
mel78,3.74983751256949,4.31522820680296,12.220924311528604,4.884088972769716,6.813906031496319,9.479888004932473,8.473619497775477,-0.9742758985565412,2.8824189462890524
mel79,3.540670194997164,4.287274881570339,11.969479679954425,4.8059863254182105,6.698243392898874,9.11538992745936,8.248717490103886,-0.9858232623436817,2.6714035713518105
mel80,3.907848408109416,4.27556702704125,12.20594563746499,4.738739077909506,6.441137909880466,9.416009735074724,8.314109587229796,-0.9558339610301316,3.19213824189047
mel81,3.8445159746757835,4.319334243589078,12.245447673699358,4.735320870453137,6.901012598114744,9.57294251531166,8.494276600764817,-0.9659665534973921,3.0114171315217364
mel82,3.881993561458156,4.285829995755749,12.205519992845808,4.729950902885397,6.336241489714188,9.39530343691359,8.259497014454713,-0.9569776521840088,3.1519879216659246
mel83,3.641871899127236,4.312411852429804,12.270709911792284,4.882423062949333,6.556991401644059,9.50805099004406,8.479140276121528,-0.9877341597732818,2.6912741833191514
mel84,3.8626498548051305,4.28157406518147,12.241542583311785,4.691806492647638,6.465273427194696,9.42727106338329,8.287996355888929,-0.95542467539203,3.1573006633069682
mel85,3.4495912079350193,4.270076256125566,12.086607007592187,4.891100725401066,6.896148176440384,9.121912355663097,8.387797236071505,-0.9889108748563601,2.6018644583715003
mel86,3.81364620388219,4.32615044021861,12.247222746217712,4.758062932091234,6.886235378015213,9.566709069026123,8.499542327416048,-0.9714422121297053,2.9367340676870537
mel87,3.6242294510291506,4.315006534965653,12.267835442908405,4.907642343912507,6.618151360967658,9.49705122294503,8.500775149942017,-0.987459883133842,2.6791654847270627
mel88,3.7909522054177973,4.322664566025101,12.219621937889666,4.876646654092939,6.800593141377683,9.505297665710534,8.461714307552349,-0.9708455075353148,2.9307190130788645
mel89,3.4389584467139387,4.271540308354611,12.042287620754276,4.865069877427421,6.8787795067455635,9.132039313417607,8.374061578071412,-0.9908183597633364,2.574533933696634
mel90,3.592552798598172,4.308893850158553,12.254162088061056,4.876265454835473,6.576929073487742,9.462201206505558,8.43695446453219,-0.9916062501259799,2.625002135806655
mel91,3.4110768373964806,4.265391857844055,11.93398501195175,4.897317275399031,6.814839230955816,9.055934326212485,8.29961412957444,-0.989489078631757,2.576645227949222
mel92,3.881912675429125,4.297544966951758,12.2204024812476,4.784236450061373,6.629759476119777,9.491666035194855,8.378753774119128,-0.9598831672950748,3.1133006190549812
mel93,3.7360622566933923,4.303642955467923,12.256013575885568,4.886205215718078,6.462686184280809,9.433421521343432,8.38647384129152,-0.9724792091958241,2.902906775270359
mel94,3.700711498581557,4.30076629070081,12.196455044316359,4.759949239775645,6.6569064565757055,9.311495256351478,8.355304651416539,-0.9803032420464206,2.8129175087529608
mel95,3.712752415027973,4.324056678799229,12.304929256579328,4.898660358722849,6.745659789232861,9.553425693867641,8.509406957215804,-0.9806176060771855,2.791287414443385
mel96,3.5827297018130118,4.304215095872126,12.164058273743942,4.884013309772668,6.908145202951904,9.400708633695126,8.44558547563035,-0.9861164616984888,2.6768686317460477
mel97,3.5113431604636833,4.292085442464071,12.201999862999534,4.917276542350397,6.701702347460634,9.352773526095143,8.472482395299112,-0.9920877824102617,2.5855501759222976
