sample,source_label,estimated_proportion,true_proportion,ratio_objective
mel38,Decontaminated,0.41674022605522104,0.625,0.0018216014361272872
mel38,Cropland,0.0308663341080722,0.0,0.0018216014361272872
mel38,Forest,0.48231439031896445,0.375,0.0018216014361272872
mel40,Subsurface,0.0,0.0,0.00127964403334193
mel40,Decontaminated,0.831401496318271,0.875,0.00127964403334193
mel40,Cropland,0.0903759764653832,0.0,0.00127964403334193
mel40,Forest,0.0782225272163458,0.125,0.00127964403334193
mel41,Subsurface,0.081907561348391,0.125,0.00035580050616377
mel41,Decontaminated,1.0930960184316746e-18,0.0,0.00035580050616377
mel41,Cropland,0.0,0.0,0.00035580050616377
mel41,Forest,0.9180924386516089,0.875,0.00035580050616377
mel43,Subsurface,0.24675275601706653,0.375,0.0007997486045557841
mel43,Decontaminated,2.1006417091906648e-19,0.0,0.0007997486045557841
mel43,Cropland,0.15691027977866448,0.0,0.0007997486045557841
mel43,Forest,0.5963369642042691,0.625,0.0007997486045557841
mel45,Subsurface,0.5318896541008802,0.625,0.0004863764561858837
mel45,Decontaminated,4.237705835113265e-18,0.0,0.0004863764561858837
mel45,Cropland,0.15141765463723894,0.0,0.0004863764561858837
mel45,Forest,0.316692691261881,0.375,0.0004863764561858837
mel47,Subsurface,0.7260235889997391,0.875,0.0009356509500894215
mel47,Decontaminated,0.1222126590290366,0.0,0.0009356509500894215
mel47,Cropland,0.11241891343794778,0.0,0.0009356509500894215
mel47,Forest,0.0393448385332767,0.125,0.0009356509500894215
mel48,Subsurface,0.0,0.1,0.003076323156935306
mel48,Decontaminated,0.34044871843551755,0.3,0.003076323156935306
mel48,Cropland,0.37427315645684417,0.3,0.003076323156935306
mel48,Forest,0.28527812510763834,0.3,0.003076323156935306
mel49,Subsurface,0.3705190524298115,0.3,0.003412494653627784
mel49,Decontaminated,0.0,0.1,0.003412494653627784
mel49,Cropland,0.23556044109825208,0.3,0.003412494653627784
mel49,Forest,0.39392050647193644,0.3,0.003412494653627784
mel50,Subsurface,0.22172335564113202,0.3,0.001428876670820637
mel50,Decontaminated,0.274833114370969,0.3,0.001428876670820637
mel50,Cropland,0.19130856675239477,0.1,0.001428876670820637
mel50,Forest,0.3121349632355042,0.3,0.001428876670820637
mel51,Subsurface,0.15605831440299142,0.3,0.0002501109162809772
mel51,Decontaminated,0.3555464585177186,0.3,0.0002501109162809772
mel51,Cropland,0.471045387173547,0.3,0.0002501109162809772
mel51,Forest,0.017349839905743125,0.1,0.0002501109162809772
mel52,Subsurface,0.26684842034193273,0.4,0.00046363587210979963
mel52,Decontaminated,0.23994419228137398,0.2,0.00046363587210979963
mel52,Cropland,0.27027258118200786,0.2,0.00046363587210979963
mel52,Forest,0.2229348061946855,0.2,0.00046363587210979963
mel53,Subsurface,0.07641613536244835,0.2,0.0013696621776932332
mel53,Decontaminated,0.43477853052603743,0.4,0.0013696621776932332
mel53,Cropland,0.4190793424531163,0.2,0.0013696621776932332
mel53,Forest,0.06972599165839798,0.2,0.0013696621776932332
mel54,Subsurface,0.10747731645834022,0.2,0.00046455771482269023
