sample,tracer,observed,predicted,residual
mel5,Si,0.9884386977042748,0.9934565977176908,-0.005017900013415955
mel5,Zn,0.9806702977671586,0.9902198528272445,-0.009549555060085813
mel5,Mn,0.9795882610160017,0.9767435771953196,0.002844683820682148
mel5,K,0.9854982297399365,0.9797454569814835,0.005752772758452984
mel5,Ti,0.9794589126322119,0.9859290779958805,-0.006470165363668623
mel5,y,-0.981202222550219,-0.9824846212900548,0.0012823987398357106
mel5,C_star,0.8851646909643721,0.8876163492087003,-0.0024516582443281365
mel6,L,0.9896024901898323,0.9931192436308656,-0.0035167534410333046
mel6,h,0.9920480807977219,0.9942974244717261,-0.0022493436740042005
mel6,Si,1.0018028013091318,0.9969129770942466,0.004889824214885152
mel6,Zn,0.9628839319820081,0.9720917812120622,-0.009207849230054133
mel6,Mn,0.9541683802743836,0.9393099568365209,0.0148584234378627
mel6,K,0.991743153466565,0.9856667615539423,0.0060763919126227695
mel6,Ti,0.9816959095567364,0.9665322767213576,0.015163632835378804
mel6,y,-0.9575390801117122,-0.9654831596546956,0.007944079542983373
mel6,C_star,1.000592346898262,0.9786644444836294,0.021927902414632605
mel8,L,0.9870689437580369,0.9878621882516722,-0.00079324449363527
mel8,h,0.9943353700855202,0.9958852519578798,-0.0015498818723596042
mel8,Si,1.0025103126648047,0.9972318817537642,0.005278430911040521
mel8,Zn,0.9797180961042713,0.978009499000539,0.001708597103732279
mel8,Mn,0.9683921573689618,0.956431368754729,0.011960788614232776
mel8,K,0.9978823573026069,0.9897103454231417,0.008172011879465146
mel8,Ti,0.9937170348867138,0.9759739354572845,0.01774309942942931
mel8,y,-0.9607497833806724,-0.9688415976403165,0.008091814259644114
mel8,C_star,0.98639187414063,0.9623635916589965,0.024028282481633467
mel10,L,0.9865941705239587,0.9842644983412763,0.0023296721826824296
mel10,h,0.9985578930166885,0.9969718889655463,0.0015860040511421758
mel10,Si,0.99915868485595,0.9974501256171378,0.0017085592388123017
mel10,Zn,0.9737372646307024,0.9820593162545923,-0.008322051623889881
mel10,Mn,0.982535960758276,0.9681484853659905,0.014387475392285465
mel10,K,0.9947889440667215,0.9924775905515902,0.0023113535151312314
mel10,Ti,0.9902617441222612,0.9824353778278719,0.007826366294389264
mel10,y,-0.9655023712659081,-0.9711399600474123,0.005637588781504221
mel10,C_star,0.9666801351448692,0.9512080284191384,0.015472106725730739
mel12,L,0.9793429031928061,0.9786496949590999,0.0006932082337062218
mel12,h,0.9997880008027532,0.998667769738432,0.001120231064321242
mel12,Si,1.0006680287566148,0.9977907320653671,0.0028772966912476994
mel12,Zn,0.9898759253952698,0.9883797407996736,0.001496184595596195
mel12,Mn,1.0031065757651856,0.9864350269014809,0.0166715488637047
mel12,K,1.005623679224761,0.9967963444446448,0.008827334780116214
mel12,Ti,0.9999622659073959,0.9925195511112002,0.007442714796195737
mel12,y,-0.9663282373984917,-0.9747269431777649,0.008398705779273152
mel12,C_star,0.9565638937006492,0.9337978858639822,0.022766007836667046
mel13,L,0.9699635143390557,0.9750815894879363,-0.00511807514888063
mel13,h,1.0023742131329305,0.9997454711381607,0.002628741994769812
mel13,Si,1.0019245654685773,0.9980071812709255,0.003917384197651863
mel13,Zn,0.9772417077006709,0.992396255691534,-0.015154547990863132
mel13,Mn,1.0033872700801958,0.9980557915944287,0.005331478485767094
mel13,K,1.0036959441551316,0.9995408340279012,0.004155110127230466
mel13,Ti,1.002764858527206,0.9989278599005376,0.0038369986266684197
mel13,y,-0.9730459507626923,-0.9770064057450577,0.003960454982365413
mel13,C_star,0.9272527979970951,0.9227340567899336,0.0045187412071615585
mel15,L,0.9523256063365196,0.9552654465228153,-0.0029398401862956725
mel15,h,1.003314189766643,0.9980021248649048,0.0053120649017383
mel15,Si,0.9938747548063678,0.9971508047346107,-0.00327604992824293
mel15,Zn,0.9927392449833851,0.9932105246250985,-0.00047127964171345127
mel15,Mn,0.9837062130164207,0.9832817999527947,0.0004244130636259502
mel15,K,0.9958436000968748,0.9924607370818876,0.0033828630149871364
mel15,Ti,0.9921553347821174,0.99443954285627,-0.0022842080741526383
mel15,y,-0.9791268302230868,-0.9820516429291988,0.002924812706112001
mel15,C_star,0.8950222916146634,0.8944328250778104,0.0005894665368529894
mel17,L,0.9397081749806923,0.9373476482283298,0.002360526752362424
mel17,h,1.0024216240278643,0.9988619167724255,0.0035597072554387488
mel17,Si,0.9972332746608059,0.9982129354237257,-0.0009796607629197762
mel17,Zn,1.0088040646567005,0.997306705022404,0.011497359634296433
mel17,Mn,0.9776395783137788,0.9723671947792563,0.005272383534522529
mel17,K,0.9952729463018487,0.9916055074251429,0.003667438876705842
mel17,Ti,0.992361610162158,0.9957736241506914,-0.0034120139885334133
mel17,y,-0.9898904473829863,-0.9889597362312021,-0.0009307111517841138
mel17,C_star,0.8556108067537426,0.8587350978944241,-0.0031242911406815788
mel19,L,0.9226676885206239,0.924953880342084,-0.0022861918214601706
mel19,h,1.0015558652781604,0.9974394655269985,0.004116399751161959
mel19,Si,0.9973413495062197,0.9971181259710168,0.00022322353520287663
mel19,Zn,0.993585768950288,0.9982459629893992,-0.00466019403911111
mel19,Mn,0.9741613698759921,0.9686596701431164,0.005501699732875731
mel19,K,0.9951415755582633,0.986808601800964,0.008332973757299356
mel19,Ti,0.9944845054853255,0.9941143416127923,0.0003701638725331913
mel19,y,-0.9910615759997325,-0.9918094012124299,0.0007478252126973395
mel19,C_star,0.8395663534154139,0.8423240097799255,-0.0027576563645116403
mel20,L,0.9857543778021096,0.9907509477743787,-0.004996569972269049
mel20,h,0.9951514780361657,0.9923561686404814,0.0027953093956842867
mel20,Si,0.9922667101525535,0.9960302405375142,-0.0037635303849606894
mel20,Zn,0.9681613854945256,0.9682868341489972,-0.00012544865447161602
mel20,Mn,0.9221738549279674,0.9258164352125542,-0.0036425802845867494
mel20,K,0.9785638753205741,0.9802154180861617,-0.0016515427655876547
mel20,Ti,0.9702641308548313,0.9589534167023598,0.011310714152471535
