feature-set,model,outer-fold,inner-mae,best-parameters
integrated,gradient-boosting,1,1098.5967106816845,"{'feature-screen__k': 100, 'regressor__learning_rate': 0.03, 'regressor__max_depth': 2, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
integrated,gradient-boosting,2,1140.741384342604,"{'feature-screen__k': 100, 'regressor__learning_rate': 0.03, 'regressor__max_depth': 1, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 300}"
integrated,gradient-boosting,3,1092.147108414328,"{'feature-screen__k': 500, 'regressor__learning_rate': 0.03, 'regressor__max_depth': 2, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
integrated,gradient-boosting,4,1039.7922783176894,"{'feature-screen__k': 100, 'regressor__learning_rate': 0.03, 'regressor__max_depth': 2, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
integrated,gradient-boosting,5,1098.02739447396,"{'feature-screen__k': 100, 'regressor__learning_rate': 0.03, 'regressor__max_depth': 2, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
integrated,naive-mean,1,,{}
integrated,naive-mean,2,,{}
integrated,naive-mean,3,,{}
integrated,naive-mean,4,,{}
integrated,naive-mean,5,,{}
integrated,random-forest,1,1103.1660859046185,"{'feature-screen__k': 250, 'regressor__max_depth': 10, 'regressor__max_features': 0.5, 'regressor__min_samples_leaf': 5}"
integrated,random-forest,2,1150.4047714504688,"{'feature-screen__k': 100, 'regressor__max_depth': 10, 'regressor__max_features': 0.5, 'regressor__min_samples_leaf': 2}"
integrated,random-forest,3,1090.6044293454663,"{'feature-screen__k': 500, 'regressor__max_depth': None, 'regressor__max_features': 0.5, 'regressor__min_samples_leaf': 2}"
integrated,random-forest,4,1062.6061983010131,"{'feature-screen__k': 500, 'regressor__max_depth': 10, 'regressor__max_features': 0.5, 'regressor__min_samples_leaf': 2}"
integrated,random-forest,5,1080.0434230821918,"{'feature-screen__k': 250, 'regressor__max_depth': None, 'regressor__max_features': 0.5, 'regressor__min_samples_leaf': 5}"
microbial-summaries,elastic-net,1,1171.3748876885877,"{'regressor__alpha': 1.0, 'regressor__l1_ratio': 0.5}"
microbial-summaries,elastic-net,2,1249.3631072352775,"{'regressor__alpha': 1.0, 'regressor__l1_ratio': 0.1}"
microbial-summaries,elastic-net,3,1180.4468673471697,"{'regressor__alpha': 1.0, 'regressor__l1_ratio': 0.5}"
microbial-summaries,elastic-net,4,1151.0210913225983,"{'regressor__alpha': 1.0, 'regressor__l1_ratio': 0.5}"
microbial-summaries,elastic-net,5,1139.2034968080154,"{'regressor__alpha': 1.0, 'regressor__l1_ratio': 0.1}"
microbial-summaries,gradient-boosting,1,1188.7330008923698,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 1, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
microbial-summaries,gradient-boosting,2,1257.6566557022334,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 1, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
microbial-summaries,gradient-boosting,3,1234.1328599390183,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 1, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
microbial-summaries,gradient-boosting,4,1175.2750202036414,"{'regressor__learning_rate': 0.03, 'regressor__max_depth': 2, 'regressor__min_samples_leaf': 5, 'regressor__n_estimators': 150}"
