sample,source,type,Mg,Al,Si,K,Ca,Ti,Mn,Fe,Ni,Cu,Zn,Sr,L_star,a_star,b_star,C_star,h,x,y,z,L,a,b,u_star,v_star,u_prime,v_prime
FNS_861,source_F,source,3212.14,51662.18,171152.9,8902.2,6891.08,3722.29,718.98,40924.33,44.45,47.7,114.97,88.03,34.13530365,3.558259493,8.468578864,9.186259162,67.16046967,0.357766308,0.359289846,0.282943847,28.41483251,2.455275516,5.040399048,8.469455882,9.174038792,0.216956361,0.490235699
FNS_862,source_F,source,3501.2,69969.33,194697.9,9028.33,9508.3,4487.66,1678.02,43528.86,47.52,64.92,127,85.04,31.86693095,3.75863059,9.889614199,10.57986447,69.18827654,0.3662918,0.365968196,0.267740004,26.50877455,2.53874363,5.626994399,9.179968517,10.3824504,0.220026553,0.494622705
FNS_863,source_F,source,2865.33,71518.78,171602.5,7263.87,8033.52,4318.44,1177.21,50009.19,44.04,36.05,144.81,91.29,29.68653658,3.150678039,8.473954083,9.040893033,69.59327647,0.360670511,0.362716031,0.276613458,24.71777445,2.074441418,4.770340415,7.599473044,8.769591368,0.217557032,0.492280347
FNS_864,source_F,source,3206.89,97980.5,180878.1,10461.18,5459.47,4897.34,635.19,56648.36,45.88,35.36,135.42,75.01,42.08911756,6.438998559,17.76154358,18.89268575,70.07264058,0.390431705,0.381596517,0.227971778,35.43688453,4.827007728,10.48224626,17.43409,19.4951618,0.229723225,0.505180775
FNS_865,source_PF,source,4445.53,93049.29,182098.6,12694.22,5992.84,5253.62,464.55,48884.3,54.78,51.71,132.6,55.03,38.3482606,3.715458936,12.18346684,12.73756439,73.03560212,0.368057753,0.370301132,0.261641115,32.06954871,2.667870556,7.309377529,10.78316645,13.6162213,0.219490159,0.496862938
FNS_866,source_F,source,2137.38,65322.74,172026.3,9239.37,6245,3611.49,664.46,39747.15,54.13,33.9,126.29,69.15,34.65724855,4.157141407,11.26772592,12.01041217,69.74425617,0.369909436,0.368687282,0.261403282,28.86046716,2.890827771,6.533689337,10.58355881,12.09875697,0.221355927,0.496405147
FNS_867,source_S,source,4941.48,119786.3,203116.2,9904.06,5321.65,5128.01,883.39,61879.76,51.15,34.49,143.29,58.66,58.87234664,7.55098276,25.31947295,26.42149364,73.39453609,0.394867811,0.388558082,0.216574107,51.85613567,6.411565544,16.62874267,24.44919983,30.04319963,0.229809017,0.508808367
FNS_868,source_F,source,3055.37,71065.07,169691.7,8047.55,11035.34,4520.33,1051.82,50586.95,33.26,36.49,154.59,89.48,35.48646947,4.046261764,11.03933592,11.75939373,69.79525187,0.367758744,0.367420104,0.264821152,29.57242971,2.834970362,6.483851143,10.41704242,11.98620999,0.220424826,0.495500788
FNS_869,source_F,source,3261.33,71665.58,185345.3,9002.49,15109.84,4414.23,961.87,46319.13,44.33,50.37,154.11,106.3,34.23905687,3.354725301,8.859360445,9.473526358,69.24532082,0.35858414,0.361146028,0.280269832,28.50559522,2.31468521,5.255284278,8.408185371,9.63595392,0.216776016,0.491233698
FNS_870,source_D,source,5261.21,135496.9,218948.9,20447.35,2676.21,4262.25,728.15,45903.59,37.55,170.02,89.11,47.44,59.80600876,5.598765744,20.58198077,21.33005273,74.78314748,0.377998626,0.378871073,0.243130301,52.82934564,4.753669781,14.16930631,19.28148201,25.34353516,0.222664368,0.502151507
FNS_871,source_F,source,4980.02,81803.02,179051.1,9455.38,17251.42,4819.39,1405.1,55776.65,39.51,38.56,141.77,146.69,31.79740847,3.62531947,9.657246835,10.31532729,69.41788719,0.364967925,0.365313528,0.269718547,26.44991568,2.445567199,5.50548365,8.904819908,10.15770749,0.219401601,0.494122957
FNS_872,source_D,source,4710.92,131780.2,208424.8,13018.84,5659.17,5401.55,1113.24,56273.16,31.39,15.77,121.79,69.01,58.85006483,7.805497135,23.87620393,25.11970337,71.89664177,0.391855524,0.384696857,0.223447619,51.83298288,6.631973252,15.86520691,24.12857904,28.43749763,0.229401499,0.506724249
FNS_873,source_D,source,3955.11,112315.1,210341.6,16095.93,14140.28,4189.73,1040.64,48202.5,29.35,25.51,129.27,121.26,56.86905184,5.052680884,19.18904288,19.84319127,75.2450753,0.375717946,0.377753954,0.2465281,49.78874648,4.20188333,13.01570814,17.55544196,23.48583734,0.221609117,0.50132301
FNS_874,source_F,source,3362.4,98625.93,173802.5,10810.32,3659.82,4934.04,509,56492.37,44.92,30.58,138.34,61.83,43.91059925,5.052871227,16.00544971,16.78581228,72.47948643,0.378931676,0.377032948,0.244035376,37.13062257,3.820427703,9.818810743,14.88729318,18.20665643,0.224000727,0.501479855
FNS_875,source_D,source,4965.64,121884.4,211705.8,17199.66,7798.63,5192.66,1042.72,50400.66,34.71,20.3,122.42,86.79,58.35961171,5.586363883,20.34970793,21.10258639,74.64954264,0.378608827,0.379155599,0.242235574,51.32407217,4.69922593,13.85711515,19.03495916,24.89477426,0.222951861,0.502366377
FNS_876,source_D,source,6069.46,118225.9,210351.1,16706.96,10821.08,5277.45,1135.35,50418.58,32.08,24.83,126.51,95.53,58.67813944,5.354642686,21.02146553,21.6927268,75.70935337,0.379539533,0.380979989,0.239480478,51.6545311,4.510445568,14.27706057,19.0560194,25.74246563,0.222842914,0.503299559
FNS_877,source_PF,source,4243.81,91537.84,219018.4,11945.73,11165.1,4902.46,903.37,49559.69,39.91,33.13,157.51,93.44,43.36786488,3.317632607,12.78563922,13.2091113,75.45240945,0.364381427,0.369752899,0.265865674,36.61388191,2.482532336,8.058949637,10.94201279,14.94778626,0.217272331,0.496069726
FNS_878,source_D,source,4902.55,121343.3,212210.7,16309.13,7834.66,5066.06,1033.2,48045.4,36.36,34.06,121.19,86.62,59.49301293,5.638356029,21.56453023,22.28951153,75.34823006,0.380806095,0.381470257,0.237723648,52.50200929,4.778473451,14.6879543,19.8102916,26.40927867,0.22347654,0.503699465
mel1,melange,target,2953.82,120425.7,209067.1,12634.23,4694.52,3853.02,572.55,48350.02,37.42,36.19,117.85,67.64,57.50007882,7.669071662,23.96419842,25.16159461,72.25447163,0.393178009,0.385981406,0.220840585,50.43656394,6.45723737,15.71150618,23.83460971,28.34289735,0.229746564,0.507468033
mel2,melange,target,4273.89,97097.39,186618.8,13337.52,8379.64,4468.25,867.52,46731.73,42.12,41.23,127.22,88.85,54.49523873,5.275904352,19.7054838,20.39960278,75.01119389,0.379676025,0.380297351,0.240026624,47.37580472,4.320857456,13.01784101,17.94931275,23.70982463,0.223199963,0.503022242
mel3,melange,target,4765.77,83627.2,197197.4,12414.99,9470.33,4417.95,679.25,43715.97,35.86,26.42,137.07,98.64,44.03614188,3.817367428,13.60852878,14.13381893,74.33045419,0.367782728,0.371236612,0.26098066,37.23433367,2.877645824,8.567946715,12.0668802,15.85269075,0.218941846,0.497245517
mel4,melange,target,4401.51,72157.58,171855.6,8875.48,9973.6,4431.25,966.66,50755.23,64.93,32.07,137.59,106.6,35.02430118,4.468745008,12.36765327,13.1503639,70.12939478,0.374626882,0.371990908,0.25338221,29.17334703,3.122934441,7.110804072,11.52439893,13.22767374,0.223170172,0.498599705
mel5,melange,target,3767.6,90247.34,185211.4,12331.08,8084.19,4105.5,818.58,47838.97,50.62,36.68,122.4,88.77,47.60495924,4.57291753,16.33820978,16.9661999,74.3635365,0.374900567,0.376269198,0.248830235,40.6040673,3.554837623,10.39560138,14.72303081,19.1802764,0.221656493,0.500548003
mel6,melange,target,3663.27,123746.6,218217.1,13089.56,4984.85,4184.26,687.81,49984.46,44.81,31.94,112.18,67.74,56.42351242,7.590106437,23.33951867,24.54287511,71.98364014,0.392551293,0.385244232,0.222204475,49.33510817,6.344563596,15.22538718,23.30511329,27.51259804,0.229635066,0.507061134
mel8,melange,target,4336.88,123625.8,220119.9,13880.66,6307.77,4634.11,758.17,51504.5,41.83,35.57,121.83,71.74,55.94559225,6.97586612,22.39150843,23.45306049,72.69689912,0.389216727,0.384014025,0.226769248,48.84513615,5.801149559,14.65707415,21.88553516,26.53777177,0.227954099,0.506040969
mel10,melange,target,4318.17,114318.3,211250.4,13476.24,7429.48,4500.07,835.27,49572.84,40.04,32.98,118.31,81.32,55.85600957,6.057556423,21.17043492,22.02002946,74.0322518,0.384048407,0.38220024,0.233751353,48.75386083,5.019756912,13.99109945,19.9271689,25.37313314,0.225304216,0.504495022
mel12,melange,target,4890.58,113055.4,215199.5,14946.72,8974.56,4886.59,961.61,51734.16,37.74,55.72,128.05,88.08,54.50024383,5.723711129,20.53619982,21.31892974,74.42586136,0.382917153,0.38188593,0.235196917,47.38081087,4.694807097,13.47099064,19.00880595,24.54285583,0.224690361,0.504191822
mel13,melange,target,5206.22,111826.8,218543.4,14673.83,9321.02,5004.32,963.46,50760.01,44.87,29.91,120.36,88.31,52.78499216,4.938359376,18.77230859,19.4110612,75.26023523,0.377927732,0.379338871,0.242733396,45.66199312,3.992377217,12.30036266,16.86228731,22.50336063,0.222434277,0.502345852
mel15,melange,target,4371.44,96831.07,197987.6,13612.78,9153.25,4573.04,841.99,46883.65,52.84,42.34,129.86,87.59,49.6711493,4.364914494,16.956836,17.50966344,75.56580638,0.37427815,0.377047923,0.248673928,42.59683799,3.44368744,10.954013,14.90374203,20.17721775,0.220942627,0.500800003
mel17,melange,target,4857.05,94750.14,206317.7,13538.73,9639.64,4581.06,807.73,46971.24,42.54,42.05,140.5,96.61,47.52966693,3.923883014,14.92876929,15.43587319,75.27561811,0.369101246,0.373026639,0.257872115,40.531215,3.041234936,9.617372708,13.12450403,17.72189101,0.219110723,0.498243972
