theta,rho,y,surface_charge_density
1.9437947856659255,0.4656194335352041,0.3177953263103394,-3.7854646629478146
1.954301784507363,0.46367934320051046,0.31291321081074897,-3.8214988312830838
1.9648087833488004,0.4616880645168567,0.3080517489460277,-3.865446498138703
1.9753157821902378,0.4596458173134624,0.3032114774021636,-3.9091584301170386
1.9858227810316753,0.4575528270462682,0.29839293052581767,-3.954308225693468
1.9963297798731128,0.4554093247730466,0.2935966402653344,-3.999103863443376
2.00683677871455,0.4532155471278939,0.2888231361120168,-4.046178296909296
2.0173437775559875,0.45097173629510684,0.28407294504167235,-4.09472916574804
2.027850776397425,0.4486781399824463,0.2793465914564375,-4.143145251621366
2.0383577752388624,0.4463350113937916,0.27464459712688516,-4.194327569777445
2.0488647740803,0.4439426092011876,0.2699674811344239,-4.245566331161147
2.0593717729217373,0.44150119751628836,0.2653157598139932,-4.299495399618656
2.069878771763175,0.43901104586120027,0.2606899466970618,-4.355360414633565
2.0803857706046123,0.4364724291387279,0.2560905524549364,-4.410725256903747
2.0908927694460497,0.4338856276020259,0.25151808484238525,-4.470620693323092
2.101399768287487,0.4312509268236602,0.2469730486415842,-4.530972297577429
2.1119067671289247,0.4285686176640815,0.24245594560639083,-4.5920061375783785
2.122413765970362,0.4258389962395162,0.23796727440695253,-4.65931255983297
2.1329207648117996,0.42306236388927565,0.23350753057465562,-4.724841184910002
2.1434277636532366,0.42023902714249,0.22907720644742063,-4.792490121623288
2.153934762494674,0.41736929768426806,0.2246767911153496,-4.861419390106281
2.1644417613361115,0.4144534923212891,0.2203067703667334,-4.936308309313188
2.174948760177549,0.41149193294682823,0.21596762663442215,-5.0150810020630185
2.1854557590189865,0.40848494650522105,0.21165983894256646,-5.093742633903597
2.195962757860424,0.40543286495576986,0.20738388285373532,-5.173146549375847
2.2064697567018614,0.4023360252360969,0.20314023041641566,-5.260829472936699
2.216976755543299,0.39919476922494795,0.19892935011290036,-5.350041914576947
2.2274837543847363,0.39600944370444996,0.19475170680756937,-5.44131881142794
2.237990753226174,0.39278040032182776,0.1906077616955708,-5.535465280841986
2.2484977520676113,0.3895079955505839,0.18649797225190662,-5.635827821297212
2.2590047509090487,0.38619259065114503,0.18242279218092944,-5.73952497254149
2.269511749750486,0.3828345516309804,0.17838267136625519,-5.846430600090156
2.2800187485919237,0.37943424920419594,0.17437805582109772,-5.953968604481718
2.290525747433361,0.3759920587506091,0.17040938763903102,-6.071099371836619
2.301032746274798,0.37250836027430845,0.16647710494518375,-6.192205589155996
2.3115397451162356,0.36898353836170217,0.16258164184787127,-6.309755217699362
2.322046743957673,0.3654179821390621,0.15872342839067305,-6.4425673068395275
2.3325537427991105,0.3618120852295652,0.15490289050495676,-6.580469779796678
2.343060741640548,0.3581662457098392,0.1511204499628574,-6.714771993565093
2.3535677404819855,0.3544808660660167,0.14737652433071513,-6.862049365346907
2.364074739323423,0.35075635314930215,0.14367152692297797,-7.018709931282469
2.3745817381648604,0.34699311813105715,0.14000586675657312,-7.172530633172357
2.385088737006298,0.3431915764574088,0.1363799485057534,-7.336518529538385
2.3955957358477353,0.3393521478033859,0.13279417245742287,-7.513929809851275
2.406102734689173,0.335475256026589,0.12924893446694646,-7.691545658769838
2.4166097335306103,0.3315613291203976,0.1257446259144494,-7.875353389642871
2.4271167323720477,0.32761079916672176,0.12228163366161043,-8.075657983850999
2.437623731213485,0.323624102288302,0.1188603400089534,-8.28193870513242
2.4481307300549227,0.319601678600563,0.11548112265364335,-8.492296526394536
2.4586377288963597,0.3155439721630265,0.11214435464779016,-8.72024062731176
2.469144727737797,0.3114514309302888,0.1088504043572644,-8.954313032289116
2.4796517265792346,0.30732450670256894,0.10559963542103229,-9.202528897019253
2.490158725420672,0.30316365507583126,0.10239240671101063,-9.461988001993493
2.5006657242621095,0.29896933539148957,0.09922907229244904,-9.727361434214284
2.511172723103547,0.2947420106856975,0.09610998138484261,-10.022296958487617
2.5216797219449845,0.29048214763823155,0.09303547832337938,-10.321714100840781
2.532186720786422,0.2861902165209712,0.090005902520927,-10.621815407586487
2.5426937196278594,0.2818666911459828,0.08702158843056318,-10.967160137324488
2.553200718469297,0.2775120488132127,0.08408286550865318,-11.323689374433176
2.5637077173107343,0.27312677025779514,0.08119005817847924,-11.679565289555143
2.574214716152172,0.26871133959698124,0.07834348579442552,-12.07946896333823
2.5847217149936093,0.26426624427669404,0.07554346260672262,-12.485820759821664
2.5952287138350467,0.2597919750177167,0.07279029772675571,-12.923683516355764
2.605735712676484,0.2552890257615188,0.07008429509293967,-13.398053153214391
2.616242711517921,0.2507578936157272,0.06742575343716584,-13.860805685699729
2.6267497103593587,0.24619907879924685,0.0648149662518227,-14.394684073467795
2.637256709200796,0.24161308458703962,0.062252221757395976,-14.948488599486918
2.6477637080422336,0.23700041725456394,0.05973780287065006,-15.53055085960472
2.658270706883671,0.23236158602188434,0.0572719871733951,-16.167046122295066
2.6687777057251085,0.22769710299745546,0.05485504688184306,-16.803705371429782
2.679284704566546,0.2230074831215874,0.0524872488165562,-17.526608360587154
2.6897917034079835,0.21829324410959838,0.05016885437299112,-18.295265944407635
2.700298702249421,0.2135549063946609,0.047900119492641724,-19.09283630788425
2.7108057010908584,0.20879299307034815,0.04568129463478443,-19.98663302819327
2.721312699932296,0.2040080298328865,0.04351262474882822,-20.876191953234432
2.7318196987737333,0.1992005449231207,0.041394349247273476,-21.894491295882908
2.742326697615171,0.19437106906819832,0.039326701979281564,-22.98224424965165
